SrcPort,DstPort,Protocol,TCPFlags,ICMP,Octets,Packets
2319,80,6,16,0,920,23
2319,80,6,16,0,720,18
80,2319,6,24,0,34040,23
80,2319,6,24,0,41440,28
54743,80,6,16,0,80,2
54743,80,6,16,0,40,1
80,54743,6,24,0,1500,1
80,54743,6,24,0,3000,2
80,2328,6,24,0,20720,14
80,2328,6,24,0,26680,19
2328,80,6,16,0,480,12
2328,80,6,16,0,480,12
2319,80,6,16,0,1960,49
80,2319,6,24,0,133200,90
2319,80,6,16,0,2200,55
80,2319,6,24,0,142080,96
80,18733,6,16,0,1340,1
45552,80,6,2,0,60,1
80,15557,6,16,0,2680,2
80,15555,6,16,0,4020,3
80,15555,6,16,0,5360,4
80,15564,6,16,0,5360,4
15556,80,6,24,0,826,3
15541,80,6,16,0,64,1
80,15563,6,16,0,4020,3
80,15563,6,16,0,5360,4
80,15556,6,24,0,4773,4
15555,80,6,16,0,228,4
80,15556,6,16,0,8040,6
80,15541,6,16,0,2680,2
80,15557,6,16,0,5360,4
15563,80,6,16,0,116,2
80,15564,6,16,0,5360,4
15564,80,6,16,0,52,1
59144,80,6,16,0,52,1
59144,80,6,16,0,52,1
15557,80,6,16,0,72,1
15557,80,6,16,0,300,5
15564,80,6,16,0,52,1
15541,80,6,16,0,104,2
80,15541,6,16,0,1340,1
53947,80,6,16,0,104,2
55997,80,6,4,0,80,2
56009,80,6,20,0,120,3
56009,80,6,20,0,120,3
2319,80,6,16,0,1680,42
2319,80,6,16,0,1080,27
80,2319,6,24,0,87320,59
80,2319,6,24,0,87320,59
80,55997,6,18,0,44,1
80,55997,6,16,0,1480,1
55998,80,6,16,0,40,1
80,56011,6,16,0,1480,1
80,56009,6,16,0,2960,2
80,56011,6,16,0,4440,3
80,56009,6,16,0,4440,3
56011,80,6,16,0,40,1
56011,80,6,16,0,120,3
55997,80,6,16,0,80,2
11916,80,6,16,0,156,3
11916,80,6,16,0,104,2
11894,80,6,16,0,156,3
11893,80,6,16,0,156,3
80,11916,6,16,0,2576,2
80,11916,6,16,0,1584,2
11881,80,6,16,0,468,9
11881,80,6,16,0,572,11
2304,80,6,16,0,2400,60
80,11881,6,16,0,9380,7
80,11881,6,16,0,10720,8
80,11893,6,16,0,5360,4
80,11893,6,16,0,1340,1
80,11894,6,16,0,1340,1
80,11894,6,16,0,692,1
80,2304,6,24,0,128760,87
80,2304,6,24,0,152440,103
2304,80,6,16,0,1800,45
11893,80,6,16,0,104,2
8351,80,6,16,0,40,1
80,8355,6,24,0,1320,2
8340,80,6,16,0,40,1
80,8341,6,24,0,1399,1
8350,80,6,16,0,40,1
8350,80,6,16,0,40,1
80,8351,6,16,0,2960,2
80,8351,6,16,0,1480,1
80,8350,6,16,0,2960,2
80,8350,6,16,0,1480,1
8356,80,6,16,0,40,1
35374,80,6,16,0,52,1
8357,80,6,16,0,40,1
56010,80,6,16,0,41,1
80,57891,6,24,0,583,1
40272,80,6,16,0,52,1
40272,80,6,16,0,52,1
80,40272,6,16,0,1500,1
56434,80,6,16,0,52,1
43818,80,6,16,0,52,1
80,48005,6,25,0,1233,1
80,2308,6,16,0,210160,142
2308,80,6,16,0,3080,77
2308,80,6,16,0,2800,70
80,2308,6,24,0,211640,143
80,57784,6,16,0,1500,1
80,2308,6,24,0,2960,2
80,2308,6,16,0,22200,15
2308,80,6,16,0,200,5
2308,80,6,16,0,400,10
33554,80,6,16,0,52,1
18943,80,6,16,0,120,3
80,36187,6,16,0,2960,2
80,32302,6,16,0,2960,2
80,55434,6,16,0,1480,1
80,18943,6,16,0,8880,6
80,37187,6,16,0,2960,2
2721,80,6,16,0,120,3
36187,80,6,16,0,40,1
36187,80,6,16,0,40,1
32302,80,6,16,0,80,2
80,36187,6,16,0,1480,1
80,37187,6,16,0,2960,2
80,32302,6,16,0,2960,2
40342,80,6,16,0,52,1
80,55434,6,24,0,2517,2
80,18943,6,16,0,5920,4
80,2721,6,16,0,2960,2
80,2721,6,16,0,1480,1
80,2721,6,4,0,40,1
55434,80,6,16,0,40,1
42013,80,6,16,0,52,1
80,53487,6,16,0,1480,1
80,22164,6,16,0,1340,1
58005,80,6,16,0,52,1
80,58005,6,24,0,1309,1
45122,80,6,16,0,52,1
2318,80,6,16,0,3800,95
2318,80,6,16,0,2760,69
80,2318,6,24,0,199800,135
80,2318,6,24,0,208680,141
80,4660,6,16,0,1340,1
59451,80,6,16,0,104,2
43128,80,6,16,0,156,3
80,60159,6,16,0,1500,1
80,37749,6,16,0,2960,2
37755,80,6,16,0,52,1
37755,80,6,16,0,104,2
37754,80,6,16,0,116,2
80,37757,6,16,0,1480,1
80,37757,6,16,0,1480,1
37749,80,6,16,0,52,1
80,37756,6,16,0,1480,1
37757,80,6,16,0,104,2
37757,80,6,16,0,156,3
37756,80,6,16,0,52,1
80,37755,6,16,0,1480,1
80,37755,6,24,0,2401,2
80,37754,6,16,0,1480,1
80,37750,6,16,0,4440,3
80,37750,6,16,0,1480,1
2318,80,6,16,0,640,16
2318,80,6,16,0,640,16
80,2318,6,24,0,48840,33
80,2318,6,24,0,39960,27
37754,80,6,17,0,52,1
41328,80,6,16,0,156,3
41328,80,6,16,0,156,3
80,41328,6,16,0,4020,3
80,41328,6,16,0,1340,1
46421,80,6,24,0,730,2
57822,80,6,16,0,52,1
53708,80,6,17,0,40,1
33100,80,6,16,0,52,1
80,33308,6,16,0,8040,6
80,33308,6,16,0,1340,1
27119,80,6,20,0,280,7
33236,80,6,16,0,52,1
53678,80,6,16,0,80,2
80,53659,6,16,0,2960,2
80,53659,6,16,0,2960,2
80,53676,6,16,0,2960,2
53660,80,6,16,0,40,1
80,53677,6,16,0,1480,1
80,53677,6,16,0,1480,1
80,53660,6,24,0,386,1
53659,80,6,16,0,40,1
53659,80,6,16,0,120,3
53677,80,6,16,0,80,2
53676,80,6,16,0,40,1
53676,80,6,16,0,80,2
53675,80,6,16,0,40,1
53660,80,6,16,0,40,1
53675,80,6,16,0,40,1
80,53694,6,16,0,1480,1
80,53706,6,16,0,5920,4
80,53706,6,16,0,4440,3
53706,80,6,16,0,80,2
53705,80,6,16,0,40,1
53705,80,6,16,0,120,3
80,53705,6,16,0,2960,2
80,53705,6,16,0,2960,2
53706,80,6,16,0,120,3
27116,80,6,16,0,80,2
27116,80,6,16,0,40,1
80,53712,6,16,0,7400,5
80,27119,6,24,0,18000,12
80,27119,6,24,0,21000,14
80,27115,6,16,0,1500,1
80,27115,6,16,0,1500,1
53712,80,6,16,0,320,8
80,53712,6,16,0,8880,6
27117,80,6,16,0,40,1
27119,80,6,16,0,80,2
80,49309,6,16,0,1340,1
52898,80,6,24,0,246,1
80,60136,6,24,0,763,1
53720,80,6,16,0,3160,79
53720,80,6,16,0,4360,109
80,53720,6,24,0,136160,92
80,53720,6,24,0,148040,101
27120,80,6,16,0,40,1
26486,80,6,16,0,52,1
52137,80,6,16,0,80,2
52134,80,6,16,0,80,2
80,52141,6,16,0,1480,1
80,52141,6,16,0,2960,2
52135,80,6,16,0,40,1
52136,80,6,16,0,40,1
80,52134,6,16,0,1480,1
80,52134,6,24,0,1256,1
80,52137,6,16,0,2960,2
80,52137,6,16,0,5920,4
80,52142,6,16,0,1480,1
80,52135,6,16,0,2960,2
52141,80,6,16,0,40,1
53720,80,6,16,0,760,19
53720,80,6,16,0,680,17
80,53720,6,24,0,17760,12
80,53720,6,24,0,8880,6
80,60269,6,16,0,1500,1
60269,80,6,16,0,40,1
80,52158,6,16,0,2960,2
60892,80,6,16,0,52,1
80,52312,6,17,0,40,1
80,15357,6,18,0,44,1
80,50776,6,16,0,1500,1
58912,80,6,16,0,52,1
52301,80,6,16,0,40,1
52298,80,6,16,0,40,1
52303,80,6,16,0,80,2
52303,80,6,16,0,40,1
52300,80,6,16,0,40,1
52301,80,6,16,0,40,1
80,52298,6,16,0,1480,1
80,52302,6,16,0,1480,1
80,52302,6,16,0,1480,1
80,52301,6,16,0,1480,1
80,52299,6,18,0,1524,2
80,52303,6,16,0,1480,1
80,52299,6,16,0,2960,2
80,52300,6,16,0,5920,4
80,52311,6,16,0,2960,2
52311,80,6,16,0,40,1
80,53541,6,24,0,103600,70
80,53541,6,24,0,85840,58
53541,80,6,16,0,1880,47
53541,80,6,16,0,2440,61
26588,80,6,16,0,52,1
80,52324,6,16,0,1480,1
80,52326,6,24,0,2960,2
80,52326,6,16,0,1480,1
80,52327,6,16,0,4440,3
80,52327,6,16,0,1480,1
52328,80,6,16,0,160,4
52328,80,6,16,0,240,6
52326,80,6,16,0,40,1
80,63415,6,16,0,1340,1
80,52324,6,16,0,2960,2
52329,80,6,16,0,40,1
80,52328,6,16,0,7400,5
52327,80,6,16,0,40,1
52327,80,6,16,0,40,1
80,52329,6,16,0,2960,2
80,52329,6,16,0,7400,5
63415,80,6,16,0,52,1
80,52328,6,16,0,4440,3
52330,80,6,16,0,1880,47
80,52330,6,24,0,137640,93
80,52330,6,24,0,139120,94
52330,80,6,16,0,1280,32
80,53541,6,24,0,28520,20
80,53541,6,24,0,20720,14
53541,80,6,16,0,680,17
53541,80,6,16,0,680,17
80,2313,6,24,0,125800,85
2313,80,6,16,0,1600,40
2313,80,6,16,0,1360,34
80,2313,6,24,0,127280,86
52352,80,6,16,0,40,1
52349,80,6,16,0,40,1
80,52352,6,16,0,2960,2
80,52349,6,16,0,1480,1
80,2313,6,24,0,2960,2
80,2313,6,24,0,476,1
17595,80,6,16,0,40,1
41933,54818,6,2,0,40,1
